epoch,lr_scheduler,step,train_acc,train_loss,val_acc,val_loss
,0.0009,4,,,,
0,,4,0.5874999761581421,0.6186416745185852,,
,0.0009,9,,,,
0,,9,0.7796875238418579,0.1700773537158966,,
,0.0009,14,,,,
0,,14,0.8427083492279053,0.18737885355949402,,
,0.0009,19,,,,
0,,19,0.8812500238418579,0.048641279339790344,,
,0.0009,24,,,,
0,,24,0.9037500023841858,0.04037238657474518,,
,0.0009,29,,,,
0,,29,0.918749988079071,0.02118976041674614,,
,0.0009,34,,,,
0,,34,0.9299107193946838,0.013055556453764439,,
,0.0009,39,,,,
0,,39,0.938281238079071,0.019192056730389595,,
,0.0009,44,,,,
0,,44,0.9451388716697693,0.010710734874010086,,
,0.0009,49,,,,
0,,49,0.9506250023841858,0.005382262170314789,,
,0.0009,54,,,,
0,,54,0.9551136493682861,0.0034231545869261026,,
,0.0009,59,,,,
0,,59,0.9588541388511658,0.0032909484580159187,,
,0.0009,64,,,,
0,,64,0.9615384340286255,0.0024147983640432358,,
,0.0009,69,,,,
0,,69,0.9638392925262451,0.011473454535007477,,
,0.0009,74,,,,
0,,74,0.9647916555404663,0.0025291605852544308,,
,0.0009,79,,,,
0,,79,0.965039074420929,0.003280893201008439,,
,0.0009,84,,,,
0,,84,0.9663602709770203,0.004628733266144991,,
,0.0009,89,,,,
0,,89,0.9673610925674438,0.0039536599069833755,,
,0.0009,94,,,,
0,,94,0.96875,0.07079672813415527,,
,0.0009,99,,,,
0,,99,0.9703124761581421,0.002991198096424341,,
,0.0009,104,,,,
0,,104,0.9717261791229248,0.003401790512725711,,
,0.0009,109,,,,
0,,109,0.9727272987365723,0.002505393698811531,,
,0.0009,114,,,,
0,,114,0.9739130139350891,0.0020894063636660576,,
,0.0009,119,,,,
0,,119,0.9750000238418579,0.002485597273334861,,
,0.0009,124,,,,
0,,124,0.9760000109672546,0.0022408280055969954,,
,0.0009,129,,,,
0,,129,0.9769230484962463,0.0023918210063129663,,
0,,130,,,0.7979632019996643,0.000720632029697299
,9e-05,134,,,,
1,,134,0.9774811267852783,0.0018829418113455176,,
,9e-05,139,,,,
1,,139,0.9782876372337341,0.001837322604842484,,
,9e-05,144,,,,
1,,144,0.9790383577346802,0.0032863987144082785,,
,9e-05,149,,,,
1,,149,0.9797388911247253,0.0016458011232316494,,
,9e-05,154,,,,
1,,154,0.9803941249847412,0.0013404835481196642,,
,9e-05,159,,,,
1,,159,0.9810083508491516,0.0018476486438885331,,
,9e-05,164,,,,
1,,164,0.9814902544021606,0.0016983397072181106,,
,9e-05,169,,,,
1,,169,0.9820359349250793,0.001723941182717681,,
,9e-05,174,,,,
1,,174,0.982550323009491,0.0014937242958694696,,
,9e-05,179,,,,
1,,179,0.9830361008644104,0.001506197266280651,,
,9e-05,184,,,,
1,,184,0.9834955334663391,0.001439655665308237,,
,9e-05,189,,,,
1,,189,0.983930766582489,0.0018439451232552528,,
,9e-05,194,,,,
1,,194,0.9843436479568481,0.0015040305443108082,,
,9e-05,199,,,,
1,,199,0.9847357869148254,0.0014790266286581755,,
,9e-05,204,,,,
1,,204,0.9851087927818298,0.0013392195105552673,,
,9e-05,209,,,,
1,,209,0.9854640364646912,0.0017130485503003001,,
,9e-05,214,,,,
1,,214,0.9858027100563049,0.001280112424865365,,
,9e-05,219,,,,
1,,219,0.9861259460449219,0.001148283714428544,,
,9e-05,224,,,,
1,,224,0.9864347577095032,0.0015085159102454782,,
,9e-05,229,,,,
1,,229,0.98673015832901,0.0019197119399905205,,
,9e-05,234,,,,
1,,234,0.9870129823684692,0.0014302771305665374,,
,9e-05,239,,,,
1,,239,0.9872840046882629,0.001169116934761405,,
,9e-05,244,,,,
1,,244,0.9875439405441284,0.0018686528783291578,,
,9e-05,249,,,,
1,,249,0.9877934455871582,0.0014616360422223806,,
,9e-05,254,,,,
1,,254,0.9880331158638,0.0013735609827563167,,
,9e-05,259,,,,
1,,259,0.9882636070251465,0.001854263013228774,,
1,,261,,,0.9355267882347107,0.0005787268164567649
,9e-06,264,,,,
2,,264,0.98846834897995,0.0015690164873376489,,
,9e-06,269,,,,
2,,269,0.9886825084686279,0.002598119666799903,,
,9e-06,274,,,,
2,,274,0.9888888597488403,0.0012811972992494702,,
,9e-06,279,,,,
2,,279,0.9890878796577454,0.0016724979504942894,,
,9e-06,284,,,,
2,,284,0.9892798066139221,0.001024038647301495,,
,9e-06,289,,,,
2,,289,0.9894651770591736,0.001650551101192832,,
,9e-06,294,,,,
2,,294,0.9896441698074341,0.0019681607373058796,,
,9e-06,299,,,,
2,,299,0.9898172616958618,0.0013368448708206415,,
,9e-06,304,,,,
2,,304,0.9899845719337463,0.0012877930421382189,,
,9e-06,309,,,,
2,,309,0.9901465177536011,0.0011578489793464541,,
,9e-06,314,,,,
2,,314,0.9903033375740051,0.0012742704711854458,,
,9e-06,319,,,,
2,,319,0.9904552102088928,0.0011264689965173602,,
,9e-06,324,,,,
2,,324,0.990602433681488,0.0014419466024264693,,
,9e-06,329,,,,
2,,329,0.9907451272010803,0.0014431282179430127,,
,9e-06,334,,,,
2,,334,0.9908835887908936,0.001589065883308649,,
,9e-06,339,,,,
2,,339,0.9910179376602173,0.0014884370611980557,,
,9e-06,344,,,,
2,,344,0.9911484122276306,0.001469305483624339,,
,9e-06,349,,,,
2,,349,0.9912751913070679,0.001803183346055448,,
,9e-06,354,,,,
2,,354,0.9913983345031738,0.0017393829766660929,,
,9e-06,359,,,,
2,,359,0.9915180802345276,0.0013628632295876741,,
,9e-06,364,,,,
2,,364,0.9916344881057739,0.001761266845278442,,
,9e-06,369,,,,
2,,369,0.9917477965354919,0.001853756490163505,,
,9e-06,374,,,,
2,,374,0.9918580651283264,0.0014035360654816031,,
,9e-06,379,,,,
2,,379,0.9919654130935669,0.001435393700376153,,
,9e-06,384,,,,
2,,384,0.9920699596405029,0.00126088026445359,,
,9e-06,389,,,,
2,,389,0.9921718239784241,0.0013589417794719338,,
2,,392,,,0.9604719877243042,0.0005631577805615962
,9.000000000000001e-07,394,,,,
3,,394,0.9922634363174438,0.0012692518066614866,,
,9.000000000000001e-07,399,,,,
3,,399,0.9923604130744934,0.0014746563974767923,,
,9.000000000000001e-07,404,,,,
3,,404,0.992455005645752,0.0015156944282352924,,
,9.000000000000001e-07,409,,,,
3,,409,0.9925472736358643,0.0013991446467116475,,
,9.000000000000001e-07,414,,,,
3,,414,0.9926373362541199,0.0013600527308881283,,
,9.000000000000001e-07,419,,,,
3,,419,0.9927252531051636,0.0016953881131485105,,
,9.000000000000001e-07,424,,,,
3,,424,0.9928110837936401,0.0014665870694443583,,
,9.000000000000001e-07,429,,,,
3,,429,0.9928948879241943,0.001397475367411971,,
,9.000000000000001e-07,434,,,,
3,,434,0.9929767847061157,0.0014940820401534438,,
,9.000000000000001e-07,439,,,,
3,,439,0.9930567741394043,0.001123761641792953,,
,9.000000000000001e-07,444,,,,
3,,444,0.9931350350379944,0.0013741470174863935,,
,9.000000000000001e-07,449,,,,
3,,449,0.9932115077972412,0.0012788536259904504,,
,9.000000000000001e-07,454,,,,
3,,454,0.9932862520217896,0.0012524769408628345,,
,9.000000000000001e-07,459,,,,
3,,459,0.9933594465255737,0.0018376142252236605,,
,9.000000000000001e-07,464,,,,
3,,464,0.993431031703949,0.0012386941816657782,,
,9.000000000000001e-07,469,,,,
3,,469,0.9935010671615601,0.0014481027610599995,,
,9.000000000000001e-07,474,,,,
3,,474,0.9935696721076965,0.0010228632017970085,,
,9.000000000000001e-07,479,,,,
3,,479,0.9936367869377136,0.0012330177705734968,,
,9.000000000000001e-07,484,,,,
3,,484,0.9937025904655457,0.0023930268362164497,,
,9.000000000000001e-07,489,,,,
3,,489,0.9937669634819031,0.0010719563579186797,,
,9.000000000000001e-07,494,,,,
3,,494,0.9938300848007202,0.001420633983798325,,
,9.000000000000001e-07,499,,,,
3,,499,0.9938919544219971,0.001508320216089487,,
,9.000000000000001e-07,504,,,,
3,,504,0.9939525723457336,0.0012496807612478733,,
,9.000000000000001e-07,509,,,,
3,,509,0.9940119981765747,0.0019127143314108253,,
,9.000000000000001e-07,514,,,,
3,,514,0.9940702319145203,0.0013545798137784004,,
,9.000000000000001e-07,519,,,,
3,,519,0.9941273927688599,0.0014443994732573628,,
3,,523,,,0.9714136719703674,0.0005610159132629633
